year,channel_name,recipient_name,usd_disbursement,usd_disbursement_deflated
2018,Recipient Government,Lebanon,0.438642,0.431406
2018,Recipient Government,Lao People's Democratic Republic,2.714965,2.763471
2018,Recipient Government,Serbia,0.254409,0.245421
2018,Recipient Government,Solomon Islands,0.143689,0.130973
2018,Recipient Government,Cambodia,4.144903,3.816747
2018,Recipient Government,Zambia,12.26684,12.758856
2018,Recipient Government,Peru,0.986579,0.999474
2018,Recipient Government,Algeria,0.004925,0.004207
2018,Donor country-based NGO,Thailand,0.408756,0.350486
2018,Recipient Government,Sri Lanka,1.922844,1.64224
2018,Recipient Government,Ghana,4.093154,4.184469
2018,Recipient Government,"Bilateral, unspecified",8.051957,8.228181
2018,Recipient Government,Thailand,1.999828,1.70799
2018,Recipient Government,Philippines,149.326664,155.267089
2018,Recipient Government,Bhutan,1.32154,1.128685
2018,Recipient Government,Benin,0.152894,0.138047
2018,Recipient Government,Dominica,0.019993,0.017076
2018,Recipient Government,Bangladesh,168.129986,174.504629
2018,Recipient Government,Azerbaijan,0.215622,0.224288
2018,Other,Malaysia,0.014454,0.012345
2018,Recipient Government,Indonesia,85.52927,87.950152
2018,Recipient Government,Iraq,6.979213,6.973353
2018,Developing country-based NGO,West Bank and Gaza Strip,0.272803,0.258903
2018,Donor country-based NGO,Cambodia,2.656169,2.676027
2018,Recipient Government,Tajikistan,0.363195,0.367909
2018,Recipient Government,Malawi,18.215341,18.932779
2018,Recipient Government,Senegal,9.031324,9.387443
2018,Recipient Government,Brazil,34.578833,35.882032
2018,Developing country-based NGO,Morocco,0.050572,0.043192
2018,Recipient Government,Mozambique,11.825809,12.17297
2018,Developing country-based NGO,Pakistan,0.292401,0.251377
2018,Donor country-based NGO,Mongolia,0.418831,0.382442
2018,Recipient Government,Paraguay,4.105371,4.221651
2018,Recipient Government,Guatemala,0.075308,0.065342
2018,Recipient Government,Eswatini,0.718557,0.741894
2018,Other,Ukraine,2.487382,2.558411
2018,Recipient Government,Dominican Republic,23.660043,24.575458
2018,Recipient Government,Honduras,100.14201,104.224018
2018,Recipient Government,El Salvador,11.617644,12.046411
2018,Recipient Government,Botswana,0.108994,0.093087
2018,Recipient Government,Maldives,0.020573,0.017571
2018,Recipient Government,Jordan,117.344832,122.024894
2018,Other,Myanmar,0.015867,0.013551
2018,Recipient Government,"Far East Asia, regional",2.158373,1.843399
2018,Recipient Government,Georgia,0.013899,0.01187
2018,Recipient Government,Tanzania,73.988772,77.008737
2018,Recipient Government,Mauritius,0.1049,0.108732
2018,Recipient Government,North Macedonia,1.878032,1.94821
2018,Other,Afghanistan,13.930607,15.293007
2018,Recipient Government,Jamaica,19.320944,20.028719
2018,Recipient Government,South Africa,0.555414,0.481947
2018,Recipient Government,Timor-Leste,0.249199,0.212833
2018,Recipient Government,Papua New Guinea,17.335097,18.213584
2018,Recipient Government,Djibouti,2.696938,2.760693
2018,Recipient Government,Rwanda,4.847827,4.927021
2018,Recipient Government,Lesotho,6.669008,6.931622
2018,Recipient Government,Mongolia,54.9504,56.932116
2018,Recipient Government,Kosovo,0.026893,0.022968
2018,Recipient Government,Cuba,0.017775,0.015181
2018,Recipient Government,Marshall Islands,0.002364,0.002018
2018,Recipient Government,Cameroon,30.021472,31.24599
2018,Recipient Government,Palau,0.013465,0.011499
2018,Recipient Government,Sudan,1.973654,1.685637
2018,Recipient Government,Uganda,26.489343,27.557141
2018,Recipient Government,Namibia,0.010015,0.008553
2018,Recipient Government,Venezuela,0.003667,0.003132
2018,Recipient Government,Liberia,2.162143,2.242723
2018,Recipient Government,Bosnia and Herzegovina,0.010993,0.009388
2018,Recipient Government,Saint Lucia,0.046008,0.039293
2018,Recipient Government,Iran,0.417639,0.356691
2018,Recipient Government,Nicaragua,0.139593,0.128014
2018,Developing country-based NGO,Cabo Verde,0.400081,0.374291
2018,Recipient Government,Turkmenistan,0.003278,0.0028
2018,Recipient Government,Türkiye,0.353004,0.30149
2018,Donor country-based NGO,Lao People's Democratic Republic,1.719324,1.874104
2018,Recipient Government,Zimbabwe,0.083395,0.071226
2018,Recipient Government,Kazakhstan,0.019812,0.016921
2018,Recipient Government,Tonga,0.033984,0.029023
2018,Recipient Government,India,40.319288,40.42468
2018,"University, college or other teaching institution, research institute or think-tank",Colombia,0.071301,0.065582
2018,Recipient Government,Samoa,0.057399,0.049022
2018,Recipient Government,Mexico,727.547408,757.198691
2018,Recipient Government,Ecuador,0.430459,0.367641
2018,Recipient Government,Costa Rica,0.105998,0.090529
2018,Developing country-based NGO,South Africa,1.784111,1.971831
2018,Recipient Government,Morocco,3.295409,3.4201
2018,Recipient Government,Guinea-Bissau,0.010522,0.008986
2018,Recipient Government,Eritrea,0.009109,0.00778
2018,Other public entities in recipient country,Belarus,0.084844,0.072463
2018,Recipient Government,Democratic Republic of the Congo,6.891078,7.168047
2018,Recipient Government,Burkina Faso,13.042279,13.566458
2018,Recipient Government,Uzbekistan,100.089,104.157416
2018,Donor country-based NGO,Myanmar,1.084217,1.104691
2018,Developing country-based NGO,Dominican Republic,0.193892,0.167333
2018,Recipient Government,Panama,26.004446,27.064962
2018,Other,India,0.031624,0.032672
2018,Developing country-based NGO,Nepal,3.377582,3.485364
2018,Recipient Government,Angola,10.172631,10.471925
2018,Donor country-based NGO,Indonesia,1.669504,1.809582
2018,Recipient Government,Gambia,1.047301,1.089941
2018,Recipient Government,Kyrgyzstan,0.601792,0.612814
2018,Recipient Government,Bolivia,0.430365,0.422838
2018,Other,Thailand,0.062847,0.053676
2018,International Labour Organisation - Regular Budget Supplementary Account,"Bilateral, unspecified",5.547041,5.286346
2018,Recipient Government,Antigua and Barbuda,0.021868,0.018677
2018,Other,Georgia,0.099338,0.084841
2018,Donor country-based NGO,Venezuela,0.069542,0.061442
2018,Local Government,Brazil,0.082943,0.070839
2018,"University, college or other teaching institution, research institute or think-tank",Kazakhstan,0.032198,0.027499
2018,Recipient Government,Suriname,0.001838,0.00157
2018,Donor country-based NGO,El Salvador,0.702769,0.763782
2018,Recipient Government,Burundi,2.194056,2.283156
2018,Recipient Government,Niger,4.709764,4.898721
2018,Developing country-based NGO,Argentina,0.210547,0.194936
2018,Other,Indonesia,9.969377,10.963818
2018,Recipient Government,Madagascar,26.320576,27.363915
2018,Recipient Government,Cook Islands,0.001974,0.001685
2018,Other,Viet Nam,0.07205,0.061536
2018,Economic and Social Commission for Asia and the Pacific,"Bilateral, unspecified",0.015,0.012811
2018,Developing country-based NGO,Brazil,2.281658,2.175659
2018,Recipient Government,Saint Vincent and the Grenadines,0.100507,0.101447
2018,Recipient Government,Gabon,0.035803,0.030578
2018,International Organisation for Migration,"Bilateral, unspecified",0.061875,0.052846
2018,Other,Philippines,0.014454,0.012345
2018,International NGO,Cuba,0.089784,0.076682
2018,Recipient Government,Argentina,881.211327,917.143131
2018,Developing country-based NGO,Colombia,0.910494,0.896289
2018,Other,Lao People's Democratic Republic,0.016357,0.014438
2018,Recipient Government,Niue,0.002454,0.002095
2018,Recipient Government,Nauru,0.002047,0.001747
2018,Donor country-based NGO,"Asia, regional",0.451523,0.385714
2018,Recipient Government,Mali,22.59114,23.512459
2018,Recipient Government,Guyana,0.002327,0.001988
2018,International NGO,Bangladesh,0.001413,0.001206
2018,Recipient Government,"South Asia, regional",0.054266,0.046347
2018,Other,Cambodia,0.014454,0.012345
2018,Recipient Government,Haiti,12.387464,12.892812
2018,International NGO,Armenia,0.351117,0.396338
2018,Developing country-based NGO,Sao Tome and Principe,0.043365,0.037037
2018,Recipient Government,Micronesia,0.012714,0.010857
2018,Recipient Government,Yemen,0.008964,0.007656
2018,Donor country-based NGO,Costa Rica,0.266444,0.228448
2018,Donor country-based NGO,Pakistan,0.060836,0.062575
2018,Recipient Government,Montenegro,0.053532,0.051503
2018,Recipient Government,Sierra Leone,4.021335,4.18515
2018,United Nations Development Programme,Syrian Arab Republic,5.903776,5.04223
2018,Recipient Government,Kiribati,0.045465,0.038829
2018,Developing country-based NGO,Montenegro,0.110163,0.096942
2018,Recipient Government,Mauritania,3.837448,3.992201
2018,Recipient Government,Tuvalu,0.001413,0.001206
2018,"University, college or other teaching institution, research institute or think-tank",Indonesia,0.001413,0.001206
2018,Other,Colombia,0.348512,0.351303
2018,Developing country-based NGO,Honduras,0.145193,0.133089
2018,Recipient Government,Somalia,0.000951,0.000812
2018,Recipient Government,Tokelau,0.001413,0.001206
2018,United Nations Children's Fund,Timor-Leste,2.47198,2.111241
2018,Developing country-based NGO,Kyrgyzstan,0.724196,0.705893
2018,Recipient Government,Armenia,1.694013,1.762944
2018,International NGO,"Bilateral, unspecified",5.278452,5.854655
2018,World Food Programme,"Bilateral, unspecified",0.799586,0.828853
2018,International NGO,Ghana,0.220088,0.229235
2018,Private sector in recipient country,Brazil,0.239245,0.247186
2018,Donor country-based NGO,Lebanon,1.480857,1.567003
2018,Private Sector Institutions,"Bilateral, unspecified",0.325729,0.331159
2018,Pan-American Health Organisation,Ecuador,0.729721,0.741886
2018,Private Sector Institutions,Peru,0.019861,0.020192
2018,Private Sector Institutions,Brazil,0.008893,0.009041
2018,Private sector in recipient country,India,0.130538,0.132714
2018,Local Government,India,0.116086,0.118022
2018,Developing country-based NGO,India,1.426189,1.441094
2018,Private Sector Institutions,India,0.17525,0.178171
2018,Other non-financial corporations,India,0.120447,0.124733
2018,Developing country-based NGO,Peru,0.507546,0.502356
2018,Private sector in provider country,Jordan,2.89163,3.29532
2018,Private sector in recipient country,Türkiye,0.480135,0.488138
2018,"University, college or other teaching institution, research institute or think-tank",Türkiye,0.319877,0.325209
2018,Developing country-based NGO,Türkiye,0.153429,0.155986
2018,Private Sector Institutions,Türkiye,0.096778,0.098391
2018,Other non-financial corporations,"Bilateral, unspecified",1.084836,1.117684
2018,"University, college or other teaching institution, research institute or think-tank","Bilateral, unspecified",4.387088,4.781926
2018,Private sector in provider country,"Bilateral, unspecified",6.695813,7.695473
2018,"University, college or other teaching institution, research institute or think-tank",Albania,0.333434,0.337326
2018,Developing country-based NGO,Senegal,0.928407,0.917031
2018,Developing country-based NGO,"South of Sahara, regional",5.031152,4.977723
2018,Networks,Ghana,0.0429,0.049477
2018,Networks,Nigeria,0.0442,0.050976
2018,Networks,Kenya,0.0429,0.049477
2018,Donor country-based NGO,Mexico,0.966025,1.111449
2018,"University, college or other teaching institution, research institute or think-tank",Kenya,0.4,0.461324
2018,Developing country-based NGO,Kenya,0.941656,0.920261
2018,Donor country-based NGO,Côte d'Ivoire,0.624194,0.712522
2018,"University, college or other teaching institution, research institute or think-tank",Mexico,0.04,0.046132
2018,"University, college or other teaching institution, research institute or think-tank","Middle East, regional",0.2,0.230662
2018,Developing country-based NGO,Indonesia,0.585226,0.583574
2018,Developing country-based NGO,Ghana,0.22309,0.25177
2018,"University, college or other teaching institution, research institute or think-tank","Africa, regional",0.432289,0.475296
2018,"University, college or other teaching institution, research institute or think-tank",China (People's Republic of),1.584251,1.908495
2018,"University, college or other teaching institution, research institute or think-tank",Egypt,2.43307,2.806081
2018,"University, college or other teaching institution, research institute or think-tank",Jordan,0.535442,0.552701
2018,Public-Private Partnerships (PPP),"Bilateral, unspecified",0.270833,0.312354
2018,Donor country-based NGO,Cuba,0.535628,0.544956
2018,Developing country-based NGO,China (People's Republic of),0.32232,0.371735
2018,"University, college or other teaching institution, research institute or think-tank",Cuba,0.152077,0.175026
2018,"University, college or other teaching institution, research institute or think-tank",Tunisia,0.094724,0.110871
2018,Developing country-based NGO,Jordan,0.248427,0.258566
2018,"","Caribbean, regional",0,0
2018,Private Sector Institutions,South Africa,0.06,0.069199
2018,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only),"Bilateral, unspecified",0.45,0.518989
2018,"University, college or other teaching institution, research institute or think-tank",Sri Lanka,0.042086,0.048538
2018,World Food Programme,Kenya,1.150695,1.125099
2018,United Nations Children's Fund,Liberia,0.920556,0.90008
2018,United Nations Children's Fund,Ethiopia,3.682224,3.600318
2018,United Nations Children's Fund,Tanzania,0.935319,0.916921
2018,World Bank Group (WB),Türkiye,0.195618,0.191267
2018,United Nations Children's Fund,Zambia,1.395445,1.36585
2018,United Nations Children's Fund,Burkina Faso,0.230139,0.22502
2018,Private sector in provider country,Mozambique,0.016329,0.015965
2018,United Nations Children's Fund,"Bilateral, unspecified",18.402212,20.070305
2018,Other financial corporations,Burkina Faso,0.063346,0.061937
2018,International Bank for Reconstruction and Development,Liberia,1.726043,1.687649
2018,United Nations Children's Fund,Mozambique,5.177082,5.159378
2018,Donor Government,"Bilateral, unspecified",1.504366,1.529973
2018,United Nations Children's Fund,Kenya,3.452085,3.375298
2018,International NGO,Tanzania,0.519297,0.509864
2018,Other,Tanzania,0.132895,0.137714
2018,Developing country-based NGO,Ethiopia,0.11438,0.118676
2018,Donor country-based NGO,Senegal,1.275724,1.285503
2018,Developing country-based NGO,Zambia,0.325184,0.318078
2018,International Development Association,Ethiopia,0.318659,0.312871
2018,Central Government,Malawi,12.165247,12.15539
2018,Central Government,Ethiopia,13.006817,12.89079
2018,Donor country-based NGO,Cameroon,0.390658,0.386675
2018,Third Country Government (Delegated co-operation),Uganda,3.540659,3.476346
2018,Donor Government,Malawi,0.701395,0.728489
2018,International Bank for Reconstruction and Development,Nigeria,0.959823,0.999715
2018,International NGO,Nigeria,4.696266,4.891453
2018,Recipient Government,Montserrat,0.805408,0.838883
2018,Developing country-based NGO,Bangladesh,1.41391,1.465342
2018,Other non-financial corporations,Rwanda,1.114979,1.161321
2018,"University, college or other teaching institution, research institute or think-tank","South of Sahara, regional",0.010117,0.011935
2018,International Bank for Reconstruction and Development,Ethiopia,0.490745,0.511141
2018,Other non-financial corporations,Nepal,1.898313,1.977211
2018,"United Nations (UN) agency, fund or commission",Myanmar,3.601441,3.751125
2018,Central Government,"Bilateral, unspecified",21.361691,23.974137
2018,Other non-financial corporations,"Africa, regional",0.047806,0.049793
2018,Other,"South & Central Asia, regional",0.126964,0.132241
2018,Other non-financial corporations,Nigeria,0.509787,0.530975
2018,Banks (deposit taking corporations),Somalia,1.602436,1.669037
2018,Other,Ethiopia,0.208733,0.217408
2018,"University, college or other teaching institution, research institute or think-tank","South America, regional",0.223252,0.234609
2018,International Organisation for Migration,Ethiopia,0.407649,0.424591
2018,United Nations Children's Fund,Sierra Leone,0.008304,0.008649
2018,Public-Private Partnerships (PPP),Yemen,15.339469,15.977011
2018,Other non-financial corporations,"South of Sahara, regional",0.39676,0.413251
2018,Other non-financial corporations,Bangladesh,1.056632,1.100548
2018,Other non-financial corporations,Ghana,0.499631,0.529354
2018,Networks,Democratic Republic of the Congo,0.021069,0.021944
2018,"University, college or other teaching institution, research institute or think-tank",Pakistan,0.186088,0.193823
2018,United Nations Children's Fund,Zimbabwe,7.335201,7.640068
2018,World Food Programme,Malawi,4.652528,4.845897
2018,United Nations Volunteers,Nepal,0.011305,0.011775
2018,Other non-financial corporations,Kenya,5.350314,5.572685
2018,Other non-financial corporations,Democratic Republic of the Congo,0.123369,0.128497
2018,Other non-financial corporations,Pakistan,12.062885,12.564245
2018,International NGO,Nepal,0.143545,0.149511
2018,Other non-financial corporations,Zambia,0.2543,0.273827
2018,United Nations Population Fund,Sierra Leone,4.668534,4.862569
2018,"University, college or other teaching institution, research institute or think-tank",South Sudan,0.126964,0.132241
2018,Other,"Bilateral, unspecified",0.05554,0.060132
2018,International Bank for Reconstruction and Development,"South of Sahara, regional",14.726041,15.338087
2018,Developing country-based NGO,"Africa, regional",0.666933,0.694653
2018,Food and Agricultural Organisation,Pakistan,0.218958,0.228058
2018,"University, college or other teaching institution, research institute or think-tank",Lebanon,0.43268,0.47793
2018,Central Government,Montserrat,0.313328,0.326351
2018,International NGO,Zambia,1.557641,1.79
2018,"United Nations (UN) agency, fund or commission",Nepal,1.460084,1.520767
2018,"University, college or other teaching institution, research institute or think-tank",Ghana,0.126964,0.132241
2018,Recipient Government,Saint Helena,4.157249,4.330034
2018,United Nations Children's Fund,Lebanon,5.348166,5.479762
2018,Other non-financial corporations,Ethiopia,1.318586,1.37339
2018,United Nations Children's Fund,Ghana,0.002985,0.003109
2018,Third Country Government (Delegated co-operation),Democratic Republic of the Congo,0.148526,0.154699
2018,Donor country-based NGO,Rwanda,0.703915,0.742803
2018,Asian Development Bank,Nepal,0.066693,0.069465
2018,Other non-financial corporations,Malawi,0.004365,0.004546
2018,Banks (deposit taking corporations),Uganda,6.158283,6.414235
2018,Other public entities in donor country,"Bilateral, unspecified",0.040376,0.041249
2018,Other financial corporations,"Africa, regional",0.279092,0.290692
2018,International NGO,Ethiopia,0.568227,0.591844
2018,International NGO,Myanmar,0.521883,0.572082
2018,United Nations Development Programme,Nepal,0.252443,0.262935
2018,Donor country-based NGO,Sudan,2.626413,2.735572
2018,"University, college or other teaching institution, research institute or think-tank","Asia, regional",0.550577,0.57346
2018,"University, college or other teaching institution, research institute or think-tank",Zambia,0.229664,0.228861
2018,"University, college or other teaching institution, research institute or think-tank",Haiti,0.085007,0.08854
2018,"United Nations (UN) agency, fund or commission",Ethiopia,0.15115,0.157432
2018,United Nations Children's Fund,Nepal,0.174029,0.181262
2018,Other non-financial corporations,Sierra Leone,0.334939,0.34886
2018,International Bank for Reconstruction and Development,Sudan,3.0012,3.125937
2018,United Nations Children's Fund,Rwanda,0.017216,0.017932
2018,Other non-financial corporations,Uganda,0.004879,0.005081
2018,International NGO,"Africa, regional",0.096148,0.100144
2018,"University, college or other teaching institution, research institute or think-tank",Tanzania,0.371313,0.386076
2018,Donor Government,Nepal,0.268559,0.248984
2018,Third Country Government (Delegated co-operation),Nepal,2.127907,2.216347
2018,"University, college or other teaching institution, research institute or think-tank",Myanmar,0.126964,0.132241
2018,Other non-financial corporations,Myanmar,0.002078,0.002164
2018,Other,Jordan,0.023793,0.024782
2018,International Bank for Reconstruction and Development,Kenya,2.934507,3.056472
2018,United Nations Children's Fund,Sudan,0.063749,0.066398
2018,Central Government,Bosnia and Herzegovina,0.50109,0.503414
2018,Central Government,Tanzania,0.850603,0.873754
2018,Central Government,Azerbaijan,0.07879,0.076082
2018,Central Government,Cameroon,1.17269,1.344232
2018,Central Government,Kyrgyzstan,9.663016,9.532732
2018,Central Government,Mexico,0.03253,0.031412
2018,Central Government,Mali,0.10768,0.103979
2018,Local Government,Moldova,1.6548,1.597928
2018,Central Government,Kosovo,0.179416,0.173194
2018,Central Government,"Europe, regional",0.45899,0.443216
2018,Central Government,Libya,0.025,0.024141
2018,Central Government,Kenya,0.00491,0.004741
2018,Central Government,Philippines,0.04709,0.045863
2018,Public corporations,Philippines,0.012,0.011588
2018,Central Government,Moldova,0.15133,0.146129
2018,Central Government,Comoros,0.191,0.184435
2018,Central Government,Iraq,0.07612,0.073504
2018,Central Government,North Macedonia,1.846567,1.823756
2018,Central Government,Brazil,0.11,0.10622
2018,Central Government,West Bank and Gaza Strip,0.32298,0.31188
2018,Central Government,Georgia,0.471408,0.511616
2018,Central Government,Kazakhstan,0.045,0.043453
2018,Central Government,"South America, regional",0.03,0.028969
2018,Other public entities in donor country,Kyrgyzstan,0.00166,0.001603
2018,Central Government,Senegal,1.98199,2.267079
2018,Central Government,Tajikistan,14.42586,14.248436
2018,Central Government,Burkina Faso,0.192417,0.183617
2018,Central Government,Niger,0.06,0.057938
2018,Local Government,Syrian Arab Republic,9e-04,0.000869
2018,Central Government,Uzbekistan,0.05432,0.052453
2018,Central Government,Djibouti,0.018239,0.017461
2018,Central Government,Albania,0.097326,0.095392
2018,Private Sector Institutions,Albania,0.006149,0.006074
2018,Private Sector Institutions,Georgia,67.10138,69.84006
2018,Private Sector Institutions,Egypt,0,0
2018,Private Sector Institutions,Montenegro,0.179535,0.177333
2018,Private Sector Institutions,Belarus,0,0
2018,Private Sector Institutions,Kyrgyzstan,0,0
2018,Private Sector Institutions,Azerbaijan,1.10845,1.094856
2018,Private Sector Institutions,Moldova,0,0
2018,Other,Timor-Leste,0.320051,0.35209
2018,Donor Government,Indonesia,0.154572,0.147992
2018,United Nations Development Programme,Bangladesh,2.24098,2.465316
2018,Donor country-based NGO,Marshall Islands,0.057037,0.062747
2018,Donor Government,Nigeria,0.037056,0.040765
2018,Developing country-based NGO,Sri Lanka,0.390041,0.429087
2018,Donor country-based NGO,Papua New Guinea,0.061744,0.067924
2018,Donor country-based NGO,Fiji,0.128986,0.141898
2018,Donor Government,"Asia, regional",0.144917,0.159424
2018,Donor Government,Côte d'Ivoire,0.193579,0.192624
2018,"",Mozambique,1.641008,1.707983
2018,Donor Government,Iran,0.036454,0.040104
2018,Donor Government,Sao Tome and Principe,0.011399,0.012511
2018,Recipient Government,"Europe, regional",0.07359,0.076594
2018,Donor country-based NGO,Kiribati,9e-06,1e-05
2018,United Nations Development Programme,"Bilateral, unspecified",0.260634,0.26717
2018,Donor country-based NGO,Niger,0.183715,0.203724
2018,Donor country-based NGO,Vanuatu,0.057054,0.062766
2018,Donor Government,Cameroon,0.179658,0.17305
2018,Donor Government,Wallis and Futuna,0.005502,0.006053
2018,Donor country-based NGO,Bangladesh,0.938208,0.942792
2018,International Bank for Reconstruction and Development,"Oceania, regional",0.03583,0.039417
2018,Donor Government,Niue,0.003923,0.004316
2018,Other,"Asia, regional",0.011217,0.01234
2018,Donor country-based NGO,Micronesia,0.057037,0.062747
2018,"",Mali,0.776686,0.808387
2018,Donor Government,Thailand,0.04764,0.048429
2018,Donor Government,Myanmar,0.050047,0.048395
2018,Donor Government,Mongolia,0.209245,0.191739
2018,Donor Government,Fiji,0.013769,0.015147
2018,Donor Government,Tajikistan,0.040478,0.04453
2018,Donor Government,Ghana,0.084562,0.086552
2018,Donor Government,Zimbabwe,0.006348,0.006983
2018,International Bank for Reconstruction and Development,"Asia, regional",0.035647,0.039215
2018,Donor Government,Guinea-Bissau,0.004482,0.00493
2018,"",Zambia,0.50057,0.521001
2018,Third Country Government (Delegated co-operation),Bangladesh,0.141626,0.143987
2018,"",Fiji,0.542363,0.564499
2018,Central Government,Suriname,1.425178,1.448936
2018,Central Government,Mozambique,0.034176,0.034746
2018,"",India,4.434514,4.615503
2018,"",Lao People's Democratic Republic,0.348983,0.363226
2018,World Bank Group (WB),Mozambique,1.770329,1.799841
2018,International Labour Organisation - Assessed Contributions,Egypt,0.205884,0.214262
2018,"",Armenia,0.285378,0.297025
2018,"",Tanzania,2.748842,2.861033
2018,"",Costa Rica,0.101461,0.105602
2018,Donor country-based NGO,Nicaragua,0.798237,0.836944
2018,Donor country-based NGO,Liberia,1.071641,1.191586
2018,Developing country-based NGO,Serbia,0.015447,0.017967
2018,Donor country-based NGO,Peru,0.420182,0.466724
2018,"",Somalia,0.14059,0.146328
2018,Donor country-based NGO,Somalia,0.779918,0.791298
2018,"",Togo,0.795141,0.827595
2018,"",Myanmar,1.55406,1.617487
2018,Private sector in provider country,Namibia,0.022001,0.021773
2018,Central Government,Armenia,0.016078,0.016185
2018,Central Government,Belarus,0.002382,0.002358
2018,"",Kyrgyzstan,0.237018,0.246692
2018,"",Namibia,0.022336,0.023246
2018,Donor country-based NGO,Zambia,0.375425,0.372728
2018,Central Government,Ukraine,0.008675,0.008585
